MA,FA,Cs,Pb,Sn,Br,Cl,I,Bandgap,HOMO,LUMO,Light source,Illuminance (lux),PCE,Voc,Jsc(?A cm-2),FF
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,FL,1000,32.7,1.09,104.8,0.82
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,FL,500,28.9,1.01,53.7,0.81
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,FL,300,24.2,0.97,31.3,0.81
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,FL,200,22.3,0.91,19.3,0.75
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,FL,100,21.5,0.88,10,0.74
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,LED,1000,35.6,1.08,111,0.83
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,LED,500,29.6,0.99,54.3,0.8
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,LED,300,26.4,0.96,31,0.81
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,LED,200,22.7,0.92,19.5,0.74
0.36,0.54,0.1,1,0,0.4,0,0.6,1.75,0.45,0.2,LED,100,22,0.85,10.7,0.73
1,0,0,1,0,0,0,0,1.53,0.2,0.43,FL,400,25.4,0.775,58,0.72
1,0,0,1,0,0,0,0,1.53,0.2,0.43,LED,400,12.1,0.662,33.7,0.77
1,0,0,1,0,0,0,0,1.53,0.2,0.63,LED,400,21.9,0.873,63.3,0.61
1,0,0,1,0,0,0,0,1.53,0.2,0.43,LED,200,12.8,0.81,27.7,0.496
1,0,0,1,0,0,0,0,1.53,0.2,0.43,LED,400,13.3,0.84,52.6,0.526
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,HALOGEN,200,13.76,0.84,35.6,0.62
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,HALOGEN,400,14.06,0.87,65.45,0.606
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,HALOGEN,800,16.83,0.92,126.08,0.658
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,HALOGEN,1000,20.3,0.94,177.82,0.664
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,LED,200,28.78,0.87,27.76,0.631
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,LED,400,28.86,0.89,53.38,0.641
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,LED,800,25.89,0.92,94.73,0.629
0.38,0.57,0.05,1,0,0.4,0,0.6,1.75,1.49,-0.44,LED,1000,28.01,0.93,126.44,0.634
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,810,31.97,0.871,121,0.768
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,860,30.36,0.867,120,0.773
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,910,28.98,0.87,125,0.78
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,20.7,0.83,55,0.691
0,0,1,1,0,0.33,0,0.66,1.91,0.5,0.61,FL,1000,19.5,0.64,130,0.63
1,0,0,1,0,0,0,1,1.53,0.2,0.48,FL,400,21.33,0.871,62,0.583
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,1000,27,0.858,129,0.753
1,0,0,1,0,0,0,1,1.53,0.2,0.53,LED,1000,35.9,0.98,157,0.72
1,0,0,1,0,0,0,1,1.53,0.4,0.33,LED,1000,26.3,0.84,132,0.75
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,1000,35.2,0.87,150,0.752
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,555,33.88,0.867,89.7,0.7694
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,538,33.56,0.844,79.2,0.7592
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,492,31.34,0.833,65.6,0.755
0.85,0,0.15,1,0,0,0,1,1.8,0.5,0.5,LED,200,22.68,0.785,22.73,0.75
0.85,0,0.15,1,0,0,0,1,1.8,0.5,0.5,LED,500,22.96,0.813,54.3,0.79
0.85,0,0.15,1,0,0,0,1,1.8,0.5,0.5,LED,600,22.63,0.82,63.97,0.79
0.85,0,0.15,1,0,0,0,1,1.8,0.5,0.5,LED,1000,23.08,0.83,108.31,0.8
0.85,0,0.15,1,0,0,0,1,1.8,0.5,0.5,LED,1500,22.9,0.841,841,0.8
0.85,0,0.15,1,0,0,0,1,1.8,0.5,0.5,LED,2000,22.84,0.855,855,0.8
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,200,0.512,0.451,2.01,0.4544
1,0,0,1,0,0,0,1,1.53,0.2,0.63,LED,400,0.4151,0.502,3,0.4105
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,200,12.11,0.805,25.68,0.4959
1,0,0,1,0,0,0,1,1.53,0.2,0.43,LED,400,12.06,0.842,40.26,0.5257
0.25,0.75,0,0,1,0.33,0,0.66,1.3,0.5,0.2,LED,1000,10.45,0.26,230,0.47
0.25,0.75,0,0,1,0.33,0,0.66,1.4,0.3,0.1,LED,1000,12.81,0.28,280,0.67
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,100,27.33,0.78,13.43,0.78
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,200,27.95,0.82,25.72,0.79
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,400,30.49,0.85,54.72,0.77
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,600,28.55,0.86,74.73,0.8
1,0,0,1,0,0,0,1,1.53,0.2,0.33,LED,800,27.28,0.87,96.61,0.79
